PAID;FECHA_REGISTRO;UNIDAD_NOMBRE;PROYECTO_RNPC;UNIDAD_DEPARTAMENTO;DESTINO_DEPARTAMENTO;DESTINO_CIUDAD;ATENCION_TIPO_TRAMITE;ATENCION_DESTINO;ATENCION_TEMA;ATENCION_MOTIVO;ATENCION_ESTADO;PERSONA_RANGO_EDAD;PERSONA_CONDICION_DISCAPACIDAD;PERSONA_POBLACION_ESPECIAL;PERSONA_GENERO;PERSONA_PROFESION;PERSONA_ACEPTA_HABEAS_DATA;TIPO_EMPRESA;EMPRESA_TIPO_DOCUMENTO;EMPRESA_RAZON_SOCIAL;ESTADO_SERVICIO;CAUSAL;TIPO_PRODUCTO;NOMBRE_PRODUCTO;VALOR_PRODUCTO;FECHA_ADQUISICION;FECHA_ULTIMO_ENCUENTRO;FECHA_FIN_ULTIMO_ENCUENTRO;FECHA_FIN_REAL;ENCUENTRO_ACORDADO;FECHA_CONTRATO;DURACION
626381;2/02/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Calidad del servicio;Ciudadano Atendido;41-59 años;Ninguna ;Adulto mayor;Hombre;No indica;SI;FORMAL;NIT;RECTIINDUSTRIAL;ACORDADO;Servicios que suponen la entrega de un bien a un tercero;Servicio;rectificación del bloque del motor y cepillado de culata;1496000;3/11/2021 0:00;1/03/2022;1/03/2022;1/03/2022;SI;1/03/2022 13:54;27
804824;4/08/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;DISMERCA;ACORDADO;Incumplimiento de la garantía;Bien;MOTO;4099000;31/12/2021 0:00;11/08/2022;12/08/2022;12/08/2022;SI;12/08/2022 13:17;8
588660;12/11/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;WORLD GLASS;CERRADO;Incumplimiento de la garantía;Bien;vidrio templado 8mm;700000;14/08/2021 0:00;2/12/2021;2/12/2021;2/12/2021;SI;2/12/2021 14:15;20
677376;23/03/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Calidad del servicio;Ciudadano Atendido;60-80 años;Ninguna ;Adulto mayor;Mujer;Profesional;SI;FORMAL;NIT;HOME SERVICE SPECIAL;ACORDADO;Servicios que suponen la entrega de un bien a un tercero;Servicio;reparación de nevera;1348000;23/09/2021 0:00;6/04/2022;6/04/2022;6/04/2022;SI;6/04/2022 12:33;14
524181;14/09/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;ELECTROREYES;CERRADO;Incumplimiento de la garantía;Bien;congelador;1350000;21/10/2020 0:00;22/09/2021;24/09/2021;24/09/2021;SI;24/09/2021 14:45;10
319302;30/10/2020;CB RAFAEL URIBE;Casas del Consumidor Bogota;BOGOTA;BOGOTA;RAFAEL URIBE;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;60-80 años;Física;Ninguna;Mujer;Básica Primaria;SI;INFORMAL;;lavaseco servi expres;ACORDADO;Servicios que suponen la entrega de un bien a un tercero;Servicio;lavado;7000;21/10/2020 0:00;4/11/2020;4/11/2020;4/11/2020;SI;4/11/2020 11:57;5
701312;19/04/2022;CR BUCARAMANGA;Casas del Consumidor Regional;SANTANDER;SANTANDER;BUCARAMANGA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;INFORMAL;;DISEÑOS MONTREAL GALERIA;CERRADO;Incumplimiento de la garantía;Bien;juego de sala;2100000;15/03/2022 0:00;28/04/2022;11/05/2022;11/05/2022;SI;11/05/2022 14:28;22
665300;10/03/2022;CR BUCARAMANGA;Casas del Consumidor Regional;SANTANDER;SANTANDER;BUCARAMANGA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Mujer;No indica;SI;INFORMAL;;MOTO REPUESTOS LA GRAN 20;CERRADO;Incumplimiento de la garantía;Bien;MOTO;160000;18/02/2022 0:00;18/03/2022;18/03/2022;18/03/2022;SI;18/03/2022 12:21;8
780881;12/07/2022;CR BARRANQUILLA;Casas del Consumidor Regional;ATLANTICO;ATLANTICO;BARRANQUILLA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;2759265;ACORDADO;Incumplimiento de la garantía;Bien;Nevera ;1500000;12/05/2022 0:00;13/07/2022;14/07/2022;14/07/2022;SI;14/07/2022 15:52;2
749623;6/06/2022;CR BARRANQUILLA;Casas del Consumidor Regional;ATLANTICO;ATLANTICO;BARRANQUILLA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;AGUAS RUZ LESBY YADITH;ACORDADO;Incumplimiento de la garantía;Bien;televisor  Led Olimpo  smart ;INDETERMINADO;31/12/2021 0:00;13/06/2022;13/06/2022;13/06/2022;SI;13/06/2022 19:59;7
796990;28/07/2022;CR BARRANQUILLA;Casas del Consumidor Regional;ATLANTICO;ATLANTICO;BARRANQUILLA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Profesional;SI;FORMAL;NIT;HOYOS RAMIREZ JUAN PABLO;ACORDADO;Incumplimiento de la garantía;Servicio;INSTALACION DE DISPLAY ;130000;23/07/2022 0:00;28/07/2022;28/07/2022;28/07/2022;SI;28/07/2022 14:42;0
817682;18/08/2022;CR BARRANQUILLA;Casas del Consumidor Regional;ATLANTICO;ATLANTICO;BARRANQUILLA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Técnico;SI;INFORMAL;;kche technology;ACORDADO;Incumplimiento de la garantía;Bien;Teléfono Celular ;355000;31/07/2022 0:00;23/08/2022;23/08/2022;23/08/2022;SI;23/08/2022 13:21;5
795736;27/07/2022;CR BARRANQUILLA;Casas del Consumidor Regional;ATLANTICO;ATLANTICO;BARRANQUILLA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;rafael rodriguez cortissoz;ACORDADO;Incumplimiento de la garantía;Servicio;Servicio de  Odontología  ;14400000;14/07/2022 0:00;12/08/2022;12/08/2022;12/08/2022;SI;12/08/2022 12:40;16
808947;9/08/2022;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Técnico;SI;FORMAL;NIT;CALZADO GARFIELD;CERRADO;Incumplimiento de la garantía;Bien;ZANDALIAS EN CUERO;59900;7/07/2022 0:00;12/08/2022;12/08/2022;12/08/2022;SI;12/08/2022 15:34;3
751628;8/06/2022;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;PALACIO DEL CELULAR;CERRADO;Incumplimiento de la garantía;Bien;IPRO RUBY 5S;190000;16/10/2021 0:00;14/06/2022;14/06/2022;14/06/2022;SI;14/06/2022 10:12;6
752551;8/06/2022;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;ORGANIZACION WILSON SAS;CERRADO;Incumplimiento de la garantía;Bien;TV CHALLENGER UHD 5LL51 BT;2927000;28/07/2021 0:00;22/06/2022;22/06/2022;22/06/2022;SI;22/06/2022 11:11;14
742451;27/05/2022;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;TU CELL;CERRADO;Incumplimiento de la garantía;Bien;CELULAR XIAOMI REDMI 9A 32GB;420000;26/06/2021 0:00;31/05/2022;31/05/2022;31/05/2022;SI;31/05/2022 15:27;4
759779;15/06/2022;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;MAGIC GOLD;CERRADO;Incumplimiento de la garantía;Bien;CADENA TEJIDO CHINO DE 60 CM;240000;11/07/2021 0:00;21/06/2022;22/06/2022;22/06/2022;SI;22/06/2022 9:36;7
722765;10/05/2022;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;DISTRIPOLTRONAS;CERRADO;Incumplimiento de la garantía;Bien;comedor de 4 puestos;1720000;10/02/2021 0:00;13/05/2022;16/05/2022;16/05/2022;SI;16/05/2022 9:26;6
735532;23/05/2022;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;FERRETERIA MULTIALAMBRES;CERRADO;Incumplimiento de la garantía;Bien;TUBOS CUADRADOS 6 MTS Y ANGULOS;258866;21/07/2021 0:00;27/05/2022;27/05/2022;27/05/2022;SI;27/05/2022 15:23;4
1209004;8/11/2023;CR MONTERIA;Casas del Consumidor Regional;CORDOBA;CORDOBA;MONTERIA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Técnico;SI;INFORMAL;;CONVENIO INMOBILIARIO VENTA Y RENTA;ACORDADO;Operaciones bajo sistemas de financiación;Bien;inmuebles;5000000;31/03/2022 0:00;16/11/2023;16/11/2023;16/11/2023;SI;16/11/2023 10:29;8
1233611;21/11/2023;PUNTO DE ATENCION 4;Rutas del Consumidor;BOGOTA;CHOCO;QUIBDO;ARREGLO DIRECTO;SIC;Protección Contractual;Cláusulas de permanencia mínima;Ciudadano Atendido;41-59 años;Ninguna ;Víctima de conflicto armado;Mujer;Técnico;SI;INFORMAL;;legon telecomunicaciones;ACORDADO;Incumplimiento contractual;Servicio;internet;INDETERMINADO;9/01/2019 0:00;27/11/2023;23/11/2023;23/11/2023;SI;23/11/2023 10:05;2
1193017;27/10/2023;CR BUCARAMANGA;Casas del Consumidor Regional;SANTANDER;SANTANDER;BUCARAMANGA;ARREGLO DIRECTO;SIC;Adquisición de Bienes o Prestación de Servicios;No prestación del servicio;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;HOMEGRES;ACORDADO;Servicios que suponen la entrega de un bien a un tercero;Bien;PORCELANATO Y PEGANTE PARA PISO;3292496;4/10/2023 0:00;1/11/2023;2/11/2023;2/11/2023;SI;2/11/2023 8:59;6
1230848;20/11/2023;CR BUCARAMANGA;Casas del Consumidor Regional;SANTANDER;SANTANDER;BUCARAMANGA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Posgrado;SI;FORMAL;NIT;CENTRO DE IDIOMAS ULA ;ACORDADO;Información o publicidad engañosa;Servicio;CONTRATO DE ADHESIÓN DE PRESTACIÓN DE SERVICIOS EDUCATIVOS;79650000;13/01/2023 0:00;29/11/2023;30/11/2023;30/11/2023;SI;30/11/2023 14:05;10
1303196;12/02/2024;CB FONTIBON;Casas del Consumidor Bogota;BOGOTA;BOGOTA;FONTIBON;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Adulto mayor;Hombre;Profesional;SI;INFORMAL;;ORTOPEDICOS Y HOSPITALARIOS MULTISALUD;ACORDADO;Información o publicidad engañosa;Bien;LANCETAS PARA GLUCOMETRIA;50000;11/02/2024 0:00;15/02/2024;15/02/2024;15/02/2024;SI;15/02/2024 11:05;3
1223511;15/11/2023;CB SAN CRISTOBAL;Casas del Consumidor Bogota;BOGOTA;BOGOTA;SAN CRISTOBAL;ARREGLO DIRECTO;SIC;Adquisición de Bienes o Prestación de Servicios;No prestación del servicio;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Técnico;SI;FORMAL;NIT;AMOBLADORA LA CASITA DE MADERA;ACORDADO;Incumplimiento contractual;Bien;MUEBLE EN MADERA ;2300000;7/07/2023 0:00;28/11/2023;5/12/2023;5/12/2023;SI;5/12/2023 14:58;20
1108927;28/08/2023;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Turismo;Paquetes de Turismo ;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Profesional;SI;FORMAL;NIT;NOVA TOURS;ACORDADO;Incumplimiento contractual;Servicio;PAQUETE TURISTICO ;2810000;28/02/2023 0:00;28/08/2023;30/08/2023;30/08/2023;SI;30/08/2023 11:41;2
1188179;25/10/2023;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Protección Contractual;Cláusulas abusivas;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Profesional;SI;INFORMAL;;american language college sas;ACORDADO;Incumplimiento contractual;Servicio;CURSO DE INGLES;3890000;20/06/2023 0:00;27/10/2023;19/11/2023;19/11/2023;SI;19/11/2023 11:33;25
1124286;14/09/2023;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;CASA ELECTRICA;ACORDADO;Incumplimiento de la garantía;Bien;ESTUFA A GASOLINA;165000;17/06/2023 0:00;20/09/2023;20/09/2023;20/09/2023;SI;20/09/2023 12:37;6
1107036;24/08/2023;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Adquisición de Bienes o Prestación de Servicios;No prestación del servicio;Ciudadano Atendido;26-40 años;Ninguna ;No indica;Mujer;Profesional;SI;INFORMAL;;OFIMUEBLES;ACORDADO;Incumplimiento contractual;Bien;CONJUNTO DE MUEBLES DE ALCOBA;4000000;25/05/2023 0:00;22/09/2023;25/09/2023;25/09/2023;SI;25/09/2023 9:53;32
1147840;4/10/2023;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Posgrado;SI;INFORMAL;;arquitecto andres santacruz de la rosa;ACORDADO;Incumplimiento contractual;Bien;APARTAMENTO 302 TERRAZA JARDIN;198000000;15/02/2022 0:00;26/10/2023;30/10/2023;30/10/2023;SI;30/10/2023 12:48;26
1109729;29/08/2023;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;CONSTRUCERAMICAS COLOMBIA SAS;ACORDADO;Incumplimiento de la garantía;Bien;COCINA INTEGRAL;3928472;26/11/2022 0:00;18/09/2023;18/09/2023;18/09/2023;SI;18/09/2023 12:25;20
1116838;6/09/2023;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Básica Primaria;SI;INFORMAL;;clinica odontologica dental expert;ACORDADO;Incumplimiento contractual;Servicio;TRATAMIENTO DE ORTODONCIA;710000;17/08/2023 0:00;15/09/2023;15/09/2023;15/09/2023;SI;15/09/2023 12:07;9
1131697;21/09/2023;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Adquisición de Bienes o Prestación de Servicios;No prestación del servicio;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;lavaseco sur moderno;ACORDADO;Incumplimiento contractual;Bien;ALFOMBRA;850000;4/09/2021 0:00;3/10/2023;3/10/2023;3/10/2023;SI;3/10/2023 12:16;12
1155366;9/10/2023;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Abandono de bienes;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;LUIS IVAN NARVAEZ RODRIGUEZ;ACORDADO;Servicios que suponen la entrega de un bien a un tercero;Bien;ESCALERA;100000;9/10/2023 0:00;9/10/2023;9/10/2023;9/10/2023;SI;9/10/2023 15:31;0
1273616;13/12/2023;PUNTO DE ATENCION 2;Rutas del Consumidor;BOGOTA;BOYACA;TUNJA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Posgrado;SI;FORMAL;NIT;PROMOTORA NOGALES DE LA FLORIDA SAS;ACORDADO;Incumplimiento contractual;Bien;VIVIENDA;24380000;11/11/2021 0:00;15/12/2023;15/12/2023;15/12/2023;SI;15/12/2023 13:17;2
1159369;10/10/2023;CR NEIVA;Casas del Consumidor Regional;HUILA;HUILA;NEIVA;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Calidad del servicio;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Básica Primaria;SI;INFORMAL;;PARQUEADERO Y TALLER DE ORNAMENTACION EL REY GUAJIRO;ACORDADO;Servicios que suponen la entrega de un bien a un tercero;Servicio;VEHÍCULO RENAULT TWINGO DE PLACAS BTM 387 DE BOGOTÁ;INDETERMINADO;22/08/2023 0:00;17/10/2023;17/10/2023;17/10/2023;SI;17/10/2023 11:23;7
604972;7/12/2021;CR MONTERIA;Casas del Consumidor Regional;CORDOBA;CORDOBA;MONTERIA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Profesional;SI;FORMAL;NIT;CONSTRUCTORA CASTELLANA 101 S.A.;CERRADO;Incumplimiento contractual;Bien;sistemas de seguridad, anomalias y irregularidades;55000000;2/11/2019 0:00;14/12/2021;14/12/2021;14/12/2021;SI;14/12/2021 13:57;7
427645;3/06/2021;CR MONTERIA;Casas del Consumidor Regional;CORDOBA;CORDOBA;MONTERIA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Profesional;SI;FORMAL;NIT;NINO CARS MALL S.A.S.;CERRADO;Incumplimiento contractual;Bien;Vehiculo Renault Sandero ;3000000;15/09/2020 0:00;11/06/2021;11/06/2021;11/06/2021;SI;11/06/2021 11:46;8
439852;22/06/2021;CR MONTERIA;Casas del Consumidor Regional;CORDOBA;CORDOBA;MONTERIA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;19-25 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;"""INVERSIONES MOTOS Y MOTOCARROS S.A.S.""";CERRADO;Incumplimiento de la garantía;Bien;MOTO NKD 125 AKT;5000000;19/02/2021 0:00;6/07/2021;6/07/2021;6/07/2021;SI;6/07/2021 12:17;14
